,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year
0,1,7,Kimi Räikkönen RAI,Lotus Renault,58,1:30:03.225,25,1,7,Lotus Renault,56,1:29.274,213.845,1,7,Lotus Renault,9,17:17:36,22.709,22.709,7,7,Lotus Renault,1:28.738,7,7,Lotus Renault,1:45.545,1:37.517,1:28.738,27,5,7,Lotus Renault,1:27.625,+0.696s,12,4,7,Lotus Renault,1:26.361,+0.453s,38,6,7,Lotus Renault,1:27.877,+0.666s,17,Australia,2013
1,1,7,Kimi Räikkönen RAI,Lotus Renault,58,1:30:03.225,25,1,7,Lotus Renault,56,1:29.274,213.845,2,7,Lotus Renault,34,17:56:41,22.181,44.890,7,7,Lotus Renault,1:28.738,7,7,Lotus Renault,1:45.545,1:37.517,1:28.738,27,5,7,Lotus Renault,1:27.625,+0.696s,12,4,7,Lotus Renault,1:26.361,+0.453s,38,6,7,Lotus Renault,1:27.877,+0.666s,17,Australia,2013
2,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,1,3,Ferrari,9,17:17:35,21.792,21.792,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
3,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,2,3,Ferrari,20,17:35:01,21.606,43.398,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
4,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,3,3,Ferrari,39,18:04:29,21.704,1:05.102,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
5,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,1,1,Red Bull Racing Renault,7,17:14:25,21.807,21.807,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
6,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,2,1,Red Bull Racing Renault,21,17:36:32,22.704,44.511,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
7,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,3,1,Red Bull Racing Renault,37,18:01:32,21.596,1:06.107,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
8,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,1,4,Ferrari,8,17:16:00,21.754,21.754,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
9,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,2,4,Ferrari,23,17:39:40,21.511,43.265,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
10,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,3,4,Ferrari,36,18:00:04,21.509,1:04.774,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
11,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,1,10,Mercedes,13,17:23:56,22.155,22.155,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
12,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,2,10,Mercedes,31,17:52:21,22.015,44.170,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
13,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,3,10,Mercedes,42,18:09:35,21.778,1:05.948,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
14,6,2,Mark Webber WEB,Red Bull Racing Renault,58,+46.800s,8,4,2,Red Bull Racing Renault,45,1:29.732,212.753,1,2,Red Bull Racing Renault,5,17:11:28,24.240,24.240,2,2,Red Bull Racing Renault,1:27.827,2,2,Red Bull Racing Renault,1:44.472,1:36.524,1:27.827,26,13,2,Red Bull Racing Renault,1:30.073,+3.144s,16,2,2,Red Bull Racing Renault,1:26.172,+0.264s,31,5,2,Red Bull Racing Renault,1:27.668,+0.457s,18,Australia,2013
